"","MEAN1","MEAN2","SD","BIAS","R2","Slope","Intercept","Forecast","FinalForecast"
"1",387.836000720721,377.242506961507,17.6533743865957,10.5934937592137,0.990760272724158,1.07048246066771,-15.9954863998886,"2020-05-15","2020-06-02"
"2",377.242506961507,377.242506961507,0,0,1,0.999999999999999,3.35058653676784e-13,"2020-06-02","2020-06-02"
"3",244.283684848485,247.393560819001,27.4610343857198,-3.10987597051598,0.987253085734059,0.899731918189098,21.6958018251738,"2021-04-14","2021-06-01"
"4",243.017193022113,247.393560819001,21.6338813322145,-4.37636779688779,0.992849981263619,0.915207598115149,16.600726435802,"2021-05-04","2021-06-01"
"5",243.563543063063,247.393560819001,13.2596695679863,-3.83001775593776,0.996769724219474,0.965372715278671,4.73654951276505,"2021-05-18","2021-06-01"
"6",247.393560819001,247.393560819001,0,0,1,1,-5.49324054730517e-14,"2021-06-01","2021-06-01"
"7",231.920561120149,195.156854613061,40.7268762998062,36.763706507088,0.968535063734382,1.2174555361526,-5.67423194664935,"2022-04-05","2022-05-31"
"8",221.158244039043,195.156854613061,36.9748518167643,26.0013894259819,0.96792426220815,1.16699091829662,-6.58803293773412,"2022-04-19","2022-05-31"
"9",211.330960562398,195.156854613061,32.4486971618339,16.1741059493377,0.970834017855059,1.12326791552356,-7.88247271894845,"2022-05-03","2022-05-31"
"10",200.63410113874,195.156854613061,12.2314743746507,5.47724652567976,0.993954572285121,1.01997551912404,1.5788870441693,"2022-05-17","2022-05-31"
"11",195.156854613061,195.156854613061,0,0,1,0.999999999999999,2.81667923426297e-13,"2022-05-31","2022-05-31"
