"","MEAN1","MEAN2","SD","BIAS","R2","Slope","Intercept","Forecast","FinalForecast"
"1",456.211644029484,336.843278149058,98.8388631561652,119.368365880426,0.938790715956868,1.04635909260216,103.752617156298,"2020-06-16","2020-09-01"
"2",440.931504389844,336.843278149058,88.5190079821137,104.088226240786,0.948464592354574,1.0322202633812,93.2350471006362,"2020-06-30","2020-09-01"
"3",414.976588746929,336.843278149058,68.6167076526003,78.1333105978706,0.967642482968983,1.02512228809781,69.671036720399,"2020-07-14","2020-09-01"
"4",426.770947485667,336.843278149058,69.6828044303442,89.9276693366093,0.980642233366301,1.14773450387163,40.1642947567635,"2020-07-29","2020-09-01"
"5",381.434567862408,336.843278149058,46.8454047246037,44.5912897133497,0.989899360236097,1.094918778066,12.6185373516945,"2020-08-11","2020-09-01"
"6",336.843278149058,336.843278149058,0,0,1,0.999999999999999,2.6177981416391e-13,"2020-09-01","2020-09-01"
"7",458.379542768223,527.913666830466,238.298328557341,-69.534124062244,0.818321918357995,0.609472026780674,136.630930279841,"2021-06-16","2021-08-24"
"8",456.910467518428,527.913666830466,236.340197022514,-71.0031993120393,0.821848026840596,0.613406862041935,133.084601718898,"2021-06-29","2021-08-24"
"9",533.059454266994,527.913666830466,224.912479176844,5.14578743652743,0.841340229226861,0.777989667346982,122.348076221633,"2021-07-13","2021-08-24"
"10",570.699776838656,527.913666830466,227.351931382756,42.78611000819,0.836015468107038,0.75525908321986,171.988184809043,"2021-07-28","2021-08-24"
"11",519.29590940213,527.913666830466,77.8063497430747,-8.61775742833744,0.981979991543505,0.973011196840591,5.63000061091232,"2021-08-10","2021-08-24"
"12",527.913666830466,527.913666830466,0,0,1,0.999999999999996,2.05135667775318e-12,"2021-08-24","2021-08-24"
"13",526.293290450451,613.531677706798,118.31890879915,-87.2383872563473,0.952337791318221,0.835139886049454,13.9085150426636,"2022-06-28","2022-09-01"
"14",519.855706961506,613.531677706798,102.114703691322,-93.6759707452907,0.967589941951235,0.840564816048647,4.14256514987549,"2022-07-12","2022-09-01"
"15",508.523385257985,613.531677706798,101.455053785215,-105.008292448812,0.969934014654488,0.828620481087657,0.138471314060291,"2022-07-26","2022-09-01"
"16",546.009451154791,613.531677706798,84.3566705834262,-67.5222265520065,0.977005657761888,0.887347763482628,1.59348911591773,"2022-08-09","2022-09-01"
"17",611.161975331696,613.531677706798,53.7770700090494,-2.36970237510239,0.989751250154121,0.977453015032931,11.4635871389714,"2022-08-23","2022-09-01"
"18",613.531677706798,613.531677706798,0,0,1,0.999999999999999,6.81156994926989e-13,"2022-09-01","2022-09-01"
