"Fips","CountyState","gridID","Indx","Year","meanNDVIgrid","meanANPPgrid","PPTgs_below","NDVI_predict_below","NPP_predict_below","NPP_stdev_below","deltaNPP_below","pct_diffNPP_below","PPTgs_avg","NDVI_predict_avg","NPP_predict_avg","NPP_stdev_avg","deltaNPP_avg","pct_diffNPP_avg","PPTgs_above","NDVI_predict_above","NPP_predict_above","NPP_stdev_above","deltaNPP_above","pct_diffNPP_above","pptWatYrReceived","pptAvgWatYrReceived","pptGSremainder_below","pptGSremainder_avg","pptGSremainder_above"
4001,"apacheAZ            ",46676,1,2022,0.0654,564.6858,7.4977,0.0599,520.7258,23.6475,-43.96,-7.7849,9.0266,0.0653,564.1247,20.4777,-0.5611,-0.0994,10.6877,0.0658,567.9016,12.4359,3.2158,0.5695,4.38976377952756,3.48312710911136,3.10793622047244,4.63683622047244,6.29793622047244
4001,"apacheAZ            ",46677,1,2022,0.063,545.1486,7.5174,0.0587,511.6116,20.2529,-33.5371,-6.1519,8.8287,0.0648,559.9259,17.0294,14.7772,2.7107,10.501,0.066,569.2588,12.6465,24.1102,4.4227,4.48818897637795,3.33314585676791,3.02921102362205,4.34051102362205,6.01281102362205
4001,"apacheAZ            ",47132,1,2022,0.0652,562.6552,7.414,0.0639,552.7034,23.0549,-9.9518,-1.7687,9.2635,0.069,593.1559,15.7242,30.5008,5.4209,10.896,0.0694,596.6879,15.817,34.0327,6.0486,4.17716535433071,3.35076865391826,3.23683464566929,5.08633464566929,6.71883464566929
4001,"apacheAZ            ",47133,1,2022,0.0671,578.3857,7.3114,0.0633,548.0094,25.7605,-30.3763,-5.2519,9.3127,0.0687,590.4559,14.0996,12.0702,2.0869,11.1778,0.0673,579.6844,15.0275,1.2987,0.2245,3.97637795275591,3.64163854518185,3.33502204724409,5.33632204724409,7.20142204724409
4001,"apacheAZ            ",47134,1,2022,0.0676,581.6688,7.1778,0.0621,538.1458,27.1646,-43.5229,-7.4824,9.2441,0.0668,575.6887,21.1366,-5.9801,-1.0281,11.5719,0.0659,568.6641,10.1168,-13.0047,-2.2358,3.94881889763779,3.73284589426322,3.22898110236221,5.29528110236221,7.62308110236221
4001,"apacheAZ            ",47135,1,2022,0.0674,580.4045,7.0912,0.0607,527.2892,22.9584,-53.1153,-9.1514,8.9744,0.0651,562.2119,20.3219,-18.1926,-3.1345,11.1762,0.0646,558.2896,18.6102,-22.115,-3.8103,3.92125984251969,3.69253843269591,3.16994015748031,5.05314015748031,7.25494015748031
4001,"apacheAZ            ",47136,1,2022,0.067,576.9058,7.101,0.0593,516.2951,21.2698,-60.6107,-10.5062,8.8271,0.0651,562.2735,21.0438,-14.6322,-2.5363,10.7133,0.0642,554.6371,8.7571,-22.2687,-3.86,3.96850393700787,3.51799775028122,3.13249606299213,4.85859606299213,6.74479606299213
4001,"apacheAZ            ",47137,1,2022,0.0648,559.8739,6.9265,0.058,505.5001,17.7366,-54.3738,-9.7118,8.4544,0.0645,556.9913,16.8818,-2.8826,-0.5149,10.2392,0.0639,552.22,8.7988,-7.6539,-1.3671,3.85433070866142,3.3714848143982,3.07216929133858,4.60006929133858,6.38486929133858
4001,"apacheAZ            ",47138,1,2022,0.0619,536.9567,7.4124,0.0593,515.6676,17.646,-21.2892,-3.9648,8.6969,0.0646,558.1874,21.8406,21.2307,3.9539,10.353,0.066,569.4986,11.7972,32.5419,6.0604,4.4251968503937,3.19525684289464,2.9872031496063,4.2717031496063,5.9278031496063
4001,"apacheAZ            ",47593,1,2022,0.0667,575.152,7.8428,0.0685,588.8746,22.006,13.7226,2.3859,9.8789,0.0725,620.9178,14.6782,45.7658,7.9572,11.5285,0.0731,625.3668,13.1383,50.2148,8.7307,4.49606299212598,3.45669291338583,3.34673700787402,5.38283700787402,7.03243700787402
4001,"apacheAZ            ",47594,1,2022,0.0678,583.4295,7.8002,0.0679,584.0378,24.2737,0.6083,0.1043,9.8953,0.0718,615.232,12.6085,31.8025,5.451,11.7749,0.0715,612.7927,12.4349,29.3632,5.0329,4.32283464566929,3.6182977127859,3.47736535433071,5.57246535433071,7.45206535433071
4001,"apacheAZ            ",47595,1,2022,0.0678,583.8727,7.335,0.0644,556.6559,26.7228,-27.2168,-4.6614,9.3297,0.0687,590.8908,18.7944,7.0181,1.202,11.7257,0.0675,581.491,8.0724,-2.3817,-0.4079,4.02362204724409,3.67491563554555,3.31137795275591,5.30607795275591,7.70207795275591
4001,"apacheAZ            ",47596,1,2022,0.0665,573.5057,7.0663,0.0603,523.9446,25.8388,-49.5611,-8.6418,8.9459,0.0655,565.5553,20.4388,-7.9504,-1.3863,11.144,0.064,553.517,7.6612,-19.9887,-3.4854,3.90157480314961,3.55014998125234,3.16472519685039,5.04432519685039,7.24242519685039
4001,"apacheAZ            ",47597,1,2022,0.0656,566.2614,6.9485,0.0585,509.9976,23.8188,-56.2638,-9.936,8.7116,0.0643,555.4375,22.2313,-10.8238,-1.9115,10.6614,0.0635,549.5239,7.6694,-16.7375,-2.9558,3.82677165354331,3.42800899887514,3.12172834645669,4.88482834645669,6.83462834645669
4001,"apacheAZ            ",47598,1,2022,0.0621,538.5795,6.7815,0.0548,480.1448,19.5046,-58.4346,-10.8498,8.2759,0.0613,532.2675,16.0049,-6.3119,-1.172,10.0299,0.0614,533.0667,10.4374,-5.5128,-1.0236,3.77165354330709,3.23312710911136,3.00984645669291,4.50424645669291,6.25824645669291
4001,"apacheAZ            ",47599,1,2022,0.0608,527.7539,7.1496,0.0565,493.6295,20.6186,-34.1244,-6.466,8.4813,0.062,537.6978,24.4906,9.9439,1.8842,10.1847,0.0631,546.0993,12.0873,18.3454,3.4761,4.19685039370079,3.12842144731909,2.95274960629921,4.28444960629921,5.98784960629921
4001,"apacheAZ            ",48054,1,2022,0.0681,586.1859,8.086,0.0716,613.5145,22.5576,27.3286,4.6621,10.2234,0.0751,641.5109,10.8083,55.325,9.4381,12.0348,0.075,640.7052,10.6431,54.5193,9.3007,4.60629921259843,3.48500187476565,3.47970078740157,5.61710078740157,7.42850078740157
4001,"apacheAZ            ",48055,1,2022,0.0681,586.0025,7.9144,0.0675,580.9762,23.8127,-5.0263,-0.8577,9.8533,0.0712,610.8367,10.1264,24.8342,4.2379,11.6742,0.0708,607.1921,11.7053,21.1896,3.616,4.37007874015748,3.43747656542932,3.54432125984252,5.48322125984252,7.30412125984252
4001,"apacheAZ            ",48056,1,2022,0.0666,574.2315,7.3993,0.0626,542.4298,25.5464,-31.8017,-5.5381,9.3868,0.0676,581.8343,14.6991,7.6028,1.324,11.1086,0.0662,571.2816,7.3915,-2.9499,-0.5137,4.0511811023622,3.42369703787027,3.3481188976378,5.3356188976378,7.0574188976378
4001,"apacheAZ            ",48057,1,2022,0.0658,568.0789,7.0656,0.06,521.2485,26.8308,-46.8304,-8.2436,8.9583,0.0654,564.781,17.766,-3.2979,-0.5805,10.8041,0.0643,555.8699,6.2892,-12.209,-2.1492,3.84645669291339,3.36970378702662,3.21914330708661,5.11184330708661,6.95764330708661
4001,"apacheAZ            ",48058,1,2022,0.0625,541.6355,6.4432,0.0527,463.2684,24.5162,-78.367,-14.4686,8.1345,0.0591,514.1243,13.5427,-27.5112,-5.0793,9.7707,0.0591,514.3653,14.5693,-27.2701,-5.0348,3.3740157480315,3.20472440944882,3.0691842519685,4.7604842519685,6.3966842519685
4001,"apacheAZ            ",48059,1,2022,0.0584,508.8111,6.3343,0.0513,452.6332,23.9775,-56.1778,-11.041,7.7877,0.0574,501.0406,19.7304,-7.7705,-1.5272,9.5253,0.0579,505.0127,10.7598,-3.7983,-0.7465,3.33464566929134,3.13882639670041,2.99965433070866,4.45305433070866,6.19065433070866
4001,"apacheAZ            ",48060,1,2022,0.0594,516.9335,7.0292,0.0561,490.9897,20.126,-25.9439,-5.0188,8.4226,0.0615,533.7178,25.8044,16.7843,3.2469,10.1079,0.063,545.3591,11.8752,28.4256,5.4989,4.20472440944882,3.01799775028122,2.82447559055118,4.21787559055118,5.90317559055118
4001,"apacheAZ            ",48061,1,2022,0.0582,506.9844,7.4642,0.0596,518.3165,16.223,11.3322,2.2352,8.789,0.0645,557.4904,21.5613,50.5061,9.9621,10.3694,0.0673,579.9831,13.9621,72.9988,14.3986,4.7244094488189,2.9188226471691,2.7397905511811,4.0645905511811,5.6449905511811
4001,"apacheAZ            ",48515,1,2022,0.0681,586.337,8.1873,0.0725,620.5824,18.8561,34.2454,5.8406,10.2503,0.0766,653.6815,7.9565,67.3445,11.4856,12.2051,0.0762,650.6211,10.3599,64.2841,10.9637,4.71653543307087,3.27971503562055,3.47076456692913,5.53376456692913,7.48856456692913
4001,"apacheAZ            ",48516,1,2022,0.0666,574.0782,7.6811,0.0646,558.0852,24.2832,-15.993,-2.7859,9.439,0.0692,594.4844,9.4231,20.4062,3.5546,11.1211,0.0689,592.0948,11.2313,18.0166,3.1384,4.27952755905512,3.21194225721785,3.40157244094488,5.15947244094488,6.84157244094488
4001,"apacheAZ            ",48517,1,2022,0.0654,564.3923,7.3337,0.0615,533.6929,25.6469,-30.6995,-5.4394,9.1982,0.0662,570.7759,10.1591,6.3836,1.1311,10.6883,0.0661,569.8078,13.3292,5.4154,0.9595,4.02755905511811,3.215504311961,3.30614094488189,5.17064094488189,6.66074094488189
4001,"apacheAZ            ",48518,1,2022,0.0632,547.3334,6.8018,0.0558,488.3944,27.0383,-58.939,-10.7684,8.6375,0.0622,538.9384,16.3188,-8.395,-1.5338,10.1778,0.061,529.7587,9.3767,-17.5747,-3.211,3.65748031496063,3.17829021372328,3.14431968503937,4.98001968503937,6.52031968503937
4001,"apacheAZ            ",48519,1,2022,0.0527,463.2361,6.2103,0.0504,445.2601,26.608,-17.976,-3.8805,7.7165,0.0569,496.8129,18.7588,33.5768,7.2483,9.4058,0.0563,491.9185,10.1691,28.6824,6.1917,3.22047244094488,3.03993250843644,2.98982755905512,4.49602755905512,6.18532755905512
4001,"apacheAZ            ",48520,1,2022,0.0531,467.0428,6.2989,0.0515,454.1228,25.3539,-12.92,-2.7663,7.7454,0.0569,496.9073,23.4562,29.8645,6.3944,9.4728,0.0581,506.7866,10.6654,39.7438,8.5097,3.44488188976378,2.98003374578178,2.85401811023622,4.30051811023622,6.02791811023622
4001,"apacheAZ            ",48521,1,2022,0.0583,508.0761,6.9865,0.0582,506.966,19.6872,-1.1101,-0.2185,8.4167,0.0633,547.4592,21.9667,39.3831,7.7514,10.061,0.0652,562.7242,12.688,54.6481,10.7559,4.26771653543307,2.90748031496063,2.71878346456693,4.14898346456693,5.79328346456693
4001,"apacheAZ            ",48522,1,2022,0.0569,497.2654,7.3163,0.0593,516.3763,17.5625,19.111,3.8432,8.7051,0.0646,558.3485,20.2128,61.0832,12.2838,10.2726,0.0669,576.6058,14.7435,79.3404,15.9553,4.66535433070866,2.81552305961755,2.65094566929134,4.03974566929134,5.60724566929134
4001,"apacheAZ            ",48976,1,2022,0.0645,557.4756,7.6381,0.0628,543.8028,25.0027,-13.6728,-2.4526,9.2254,0.0672,579.0058,19.3561,21.5302,3.8621,11.0482,0.0685,588.8078,13.5509,31.3322,5.6204,4.42913385826772,2.96887889013873,3.20896614173228,4.79626614173228,6.61906614173228
4001,"apacheAZ            ",48977,1,2022,0.0639,552.4864,7.4859,0.0613,532.2413,27.9196,-20.245,-3.6644,9.0823,0.0655,565.6627,19.2866,13.1763,2.3849,10.7825,0.0669,576.4289,14.0043,23.9425,4.3336,4.26377952755905,3.00674915635546,3.22212047244095,4.81852047244095,6.51872047244095
4001,"apacheAZ            ",48978,1,2022,0.0594,516.7894,7.0246,0.0551,483.0231,27.6442,-33.7663,-6.5339,8.6722,0.061,529.3841,15.7669,12.5946,2.4371,10.1909,0.0614,532.392,14.4372,15.6026,3.0191,3.86220472440945,3.01715410573678,3.16239527559055,4.80999527559055,6.32869527559055
4001,"apacheAZ            ",48979,1,2022,0.0537,471.3263,6.4849,0.0518,456.2163,26.6428,-15.11,-3.2058,8.0758,0.0584,509.1539,18.5081,37.8276,8.0258,9.6742,0.0574,501.2659,9.4765,29.9396,6.3522,3.45275590551181,3.00018747656543,3.03214409448819,4.62304409448819,6.22144409448819
4001,"apacheAZ            ",48980,1,2022,0.0516,454.8145,6.0646,0.0504,445.2824,26.4812,-9.5321,-2.0958,7.5479,0.0564,492.9941,23.2529,38.1795,8.3945,9.2103,0.0563,492.0377,10.072,37.2232,8.1843,3.20866141732283,2.8862017247844,2.85593858267717,4.33923858267717,6.00163858267717
4001,"apacheAZ            ",48981,1,2022,0.0574,500.9144,6.274,0.0544,477.2967,26.8198,-23.6176,-4.7149,7.7881,0.0592,515.4658,26.5435,14.5515,2.905,9.4367,0.0606,526.4613,11.8441,25.5469,5.1001,3.60629921259843,2.83689538807649,2.66770078740157,4.18180078740157,5.83040078740157
4001,"apacheAZ            ",48982,1,2022,0.057,498.1457,6.8136,0.0579,505.1843,24.9435,7.0386,1.413,8.3038,0.0627,543.1883,25.2177,45.0426,9.0421,9.915,0.0643,555.8227,12.9343,57.677,11.5783,4.19291338582677,2.81149231346082,2.62068661417323,4.11088661417323,5.72208661417323
4001,"apacheAZ            ",48983,1,2022,0.056,490.049,7.3002,0.0589,513.1889,21.8954,23.1399,4.722,8.6975,0.0639,552.8252,20.5251,62.7762,12.8102,10.2785,0.0669,576.1092,15.0349,86.0602,17.5616,4.74803149606299,2.72431571053618,2.55216850393701,3.94946850393701,5.53046850393701
4001,"apacheAZ            ",49438,1,2022,0.0573,500.4244,7.1565,0.0564,492.698,26.3685,-7.7264,-1.544,8.6493,0.0615,533.3601,24.3705,32.9358,6.5816,10.2792,0.0628,544.2076,13.7597,43.7832,8.7492,4.13779527559055,2.82245969253843,3.01870472440945,4.51150472440945,6.14140472440945
4001,"apacheAZ            ",49439,1,2022,0.0527,463.4706,6.7142,0.0534,469.4297,26.2968,5.9591,1.2858,8.2051,0.0588,512.1814,22.2041,48.7108,10.51,9.7867,0.0598,520.0825,13.6662,56.6119,12.2148,3.74409448818898,2.83380202474691,2.97010551181102,4.46100551181102,6.04260551181102
4001,"apacheAZ            ",49440,1,2022,0.0515,454.049,6.2628,0.0516,454.8447,25.2099,0.7957,0.1752,7.7172,0.0572,499.1409,23.1553,45.0919,9.9311,9.3373,0.0582,507.1783,10.6031,53.1293,11.7012,3.47637795275591,2.73706411698538,2.78642204724409,4.24082204724409,5.86092204724409
4001,"apacheAZ            ",49441,1,2022,0.0561,490.9626,5.6739,0.0495,437.7495,27.7189,-53.2131,-10.8385,7.1621,0.0544,476.8002,26.3043,-14.1624,-2.8846,8.7982,0.0562,491.3421,11.558,0.3795,0.0773,3.03149606299213,2.71634795650544,2.64240393700787,4.13060393700787,5.76670393700787
4001,"apacheAZ            ",49442,1,2022,0.0556,486.3987,5.9055,0.0507,447.9314,26.4463,-38.4673,-7.9086,7.5367,0.0562,491.6801,26.9125,5.2814,1.0858,9.1299,0.0583,508.0888,11.2393,21.6901,4.4593,3.44094488188976,2.69938132733408,2.46455511811024,4.09575511811024,5.68895511811024
4001,"apacheAZ            ",49443,1,2022,0.0551,482.4471,6.8153,0.0566,494.9277,25.2159,12.4807,2.5869,8.3999,0.0619,536.6773,21.7674,54.2302,11.2406,9.9203,0.0649,560.9399,14.1143,78.4928,16.2697,4.4251968503937,2.63095238095238,2.3901031496063,3.9747031496063,5.4951031496063
4001,"apacheAZ            ",49444,1,2022,0.0551,483.0235,7.2208,0.0573,500.0606,23.5755,17.0371,3.5272,8.6457,0.0625,541.8311,20.4105,58.8076,12.1749,10.1677,0.066,569.53,15.8935,86.5065,17.9094,4.76377952755905,2.63526434195726,2.45702047244095,3.88192047244095,5.40392047244095
4001,"apacheAZ            ",49899,1,2022,0.0511,450.586,6.8379,0.0545,478.0422,23.7995,27.4561,6.0934,8.2726,0.0605,525.184,26.2325,74.5979,16.5558,9.8862,0.0616,534.6244,10.6398,84.0383,18.6509,4.05905511811024,2.64154480689914,2.77884488188976,4.21354488188976,5.82714488188976
4001,"apacheAZ            ",49900,1,2022,0.0505,445.9872,6.6037,0.0535,470.0376,25.2543,24.0504,5.3926,8.0571,0.0592,515.5732,24.7882,69.586,15.6027,9.6289,0.0603,524.0206,10.3575,78.0334,17.4968,3.8503937007874,2.66019872515935,2.7533062992126,4.2067062992126,5.7785062992126
