Fips,CountyState,gridID,Indx,Year,meanNDVIgrid,meanANPPgrid,PPTgs_below,NDVI_predict_below,NPP_predict_below,NPP_stdev_below,deltaNPP_below,pct_diffNPP_below,PPTgs_avg,NDVI_predict_avg,NPP_predict_avg,NPP_stdev_avg,deltaNPP_avg,pct_diffNPP_avg,PPTgs_above,NDVI_predict_above,NPP_predict_above,NPP_stdev_above,deltaNPP_above,pct_diffNPP_above,pptWatYrReceived,pptAvgWatYrReceived,pptGSremainder_below,pptGSremainder_avg,pptGSremainder_above
4015,mohaveAZ            ,59079,1,2022,0.0176,184.6372,0.7835,4.00E-04,48.1489,0,-136.4883,-73.9224,0.7835,4.00E-04,48.1489,0,-136.4883,-73.9224,0.7835,4.00E-04,48.1489,0,-136.4883,-73.9224,2.212598425,4.604186672,0.00,0.00,0.00
4015,mohaveAZ            ,59080,1,2022,0.0187,192.9273,0.8465,0.001,52.4066,0,-140.5206,-72.8361,0.8465,0.001,52.4066,0,-140.5206,-72.8361,0.8465,0.001,52.4066,0,-140.5206,-72.8361,2.358267717,4.86777415,0.00,0.00,0.00
4015,mohaveAZ            ,59081,1,2022,0.0194,199.2041,0.9055,0.0019,59.8008,0.0116,-139.4033,-69.9801,0.9055,0.0019,59.8008,0.0116,-139.4033,-69.9801,0.9055,0.0019,59.8008,0.0116,-139.4033,-69.9801,2.531496063,5.024678318,0.00,0.00,0.00
4015,mohaveAZ            ,59082,1,2022,0.0207,209.2413,1.122,0.0045,80.0936,0,-129.1478,-61.7219,1.122,0.0045,80.0936,0,-129.1478,-61.7219,1.122,0.0045,80.0936,0,-129.1478,-61.7219,2.929133858,5.308623007,0.00,0.00,0.00
4015,mohaveAZ            ,59083,1,2022,0.0221,220.6136,1.3031,0.0074,103.5464,0,-117.0672,-53.0644,1.3031,0.0074,103.5464,0,-117.0672,-53.0644,1.3031,0.0074,103.5464,0,-117.0672,-53.0644,3.350393701,5.55867102,0.00,0.00,0.00
4015,mohaveAZ            ,59084,1,2022,0.0224,222.5987,1.3346,0.0079,107.2611,0.0068,-115.3376,-51.8141,1.3346,0.0079,107.2611,0.0068,-115.3376,-51.8141,1.3346,0.0079,107.2611,0.0068,-115.3376,-51.8141,3.539370079,5.739581333,0.00,0.00,0.00
4015,mohaveAZ            ,59085,1,2022,0.0237,232.6236,1.378,0.0098,122.365,0,-110.2585,-47.3978,1.378,0.0098,122.365,0,-110.2585,-47.3978,1.378,0.0098,122.365,0,-110.2585,-47.3978,3.826771654,6.014979835,0.00,0.00,0.00
4015,mohaveAZ            ,59086,1,2022,0.0244,238.375,1.3622,0.0103,126.858,0,-111.517,-46.7822,1.3622,0.0103,126.858,0,-111.517,-46.7822,1.3622,0.0103,126.858,0,-111.517,-46.7822,3.976377953,6.179854043,0.00,0.00,0.00
4015,mohaveAZ            ,59087,1,2022,0.0212,212.9822,1.3307,0.0112,133.7739,0,-79.2083,-37.1901,1.3307,0.0112,133.7739,0,-79.2083,-37.1901,1.3307,0.0112,133.7739,0,-79.2083,-37.1901,4.169291339,6.472248896,0.00,0.00,0.00
4015,mohaveAZ            ,59088,1,2022,0.022,219.7837,1.3346,0.0122,141.9835,0,-77.8002,-35.3985,1.3346,0.0122,141.9835,0,-77.8002,-35.3985,1.3346,0.0122,141.9835,0,-77.8002,-35.3985,4.464566929,6.794987517,0.00,0.00,0.00
