Fips,CountyState,gridID,Indx,Year,meanNDVIgrid,meanANPPgrid,PPTgs_below,NDVI_predict_below,NPP_predict_below,NPP_stdev_below,deltaNPP_below,pct_diffNPP_below,PPTgs_avg,NDVI_predict_avg,NPP_predict_avg,NPP_stdev_avg,deltaNPP_avg,pct_diffNPP_avg,PPTgs_above,NDVI_predict_above,NPP_predict_above,NPP_stdev_above,deltaNPP_above,pct_diffNPP_above,pptWatYrReceived,pptAvgWatYrReceived,pptGSremainder_below,pptGSremainder_avg,pptGSremainder_above
4003,cochiseAZ           ,34220,1,2022,0.0353,325.2043,1.0574,0.0195,199.5875,1.341,-125.6168,-38.627,1.2329,0.0206,208.4123,3.7385,-116.7921,-35.9134,1.8668,0.0243,237.4329,33.2776,-87.7715,-26.9896,2.496062992,5.552717496,0.018029921,0.193529921,0.827429921
4003,cochiseAZ           ,34221,1,2022,0.0355,327.1156,1.0148,0.0193,198.0187,1.6752,-129.0969,-39.4652,1.1936,0.0204,207.0314,4.0409,-120.0842,-36.71,1.8251,0.0241,236.2692,34.9169,-90.8464,-27.7719,2.527559055,5.614365278,0.018737008,0.197537008,0.829037008
4003,cochiseAZ           ,34222,1,2022,0.0355,327.0857,0.9708,0.0192,197.1878,1.4422,-129.8979,-39.7137,1.1604,0.0204,206.7625,4.0429,-120.3232,-36.7865,1.7953,0.0241,236.2451,35.2053,-90.8406,-27.7727,2.535433071,5.638371423,0.018044094,0.207644094,0.842544094
4003,cochiseAZ           ,34223,1,2022,0.0349,322.3421,0.9511,0.019,195.7931,1.3755,-126.5489,-39.2592,1.1457,0.0202,205.4971,4.3186,-116.8449,-36.2487,1.7835,0.024,235.509,36.1679,-86.8331,-26.9382,2.578740157,5.635298636,0.018029134,0.212629134,0.850429134
4003,cochiseAZ           ,34224,1,2022,0.0352,324.8096,0.9357,0.0189,194.6312,1.2134,-130.1784,-40.0784,1.1414,0.0202,205.042,4.6434,-119.7676,-36.8732,1.7874,0.024,235.5279,36.7233,-89.2816,-27.4874,2.633858268,5.609083925,0.014440157,0.220140157,0.866140157
4003,cochiseAZ           ,34225,1,2022,0.0353,325.5583,0.9301,0.0186,192.5315,1.0556,-133.0269,-40.8611,1.1342,0.0199,202.8733,4.9321,-122.685,-37.6845,1.7907,0.0238,233.9281,37.0415,-91.6302,-28.1456,2.712598425,5.654407528,0.012777165,0.216877165,0.873377165
4003,cochiseAZ           ,34226,1,2022,0.0349,321.764,0.9154,0.019,195.4035,1.0257,-126.3604,-39.2712,1.1201,0.0203,205.8178,5.1615,-115.9462,-36.0345,1.7835,0.0242,236.8054,38.7008,-84.9586,-26.404,2.803149606,5.581620895,0.013825197,0.218525197,0.881925197
4003,cochiseAZ           ,34675,1,2022,0.0361,331.9656,1.3081,0.0213,214.2461,0.7059,-117.7195,-35.4614,1.4469,0.0222,221.4728,3.6525,-110.4928,-33.2844,2.0525,0.0257,249.1763,27.3632,-82.7893,-24.9391,2.472440945,5.672076051,0.012824409,0.151624409,0.757224409
4003,cochiseAZ           ,34676,1,2022,0.0356,327.8069,1.2247,0.0211,212.5342,0.5842,-115.2727,-35.1648,1.357,0.022,219.4351,3.3985,-108.3718,-33.0597,1.9813,0.0256,247.9316,29.9428,-79.8753,-24.3666,2.468503937,5.499135779,0.008164567,0.140464567,0.764764567
4003,cochiseAZ           ,34677,1,2022,0.0351,323.9873,1.21,0.0207,208.9295,0.6776,-115.0578,-35.5131,1.3451,0.0215,215.7924,3.2923,-108.1948,-33.3948,1.9767,0.0252,244.6941,30.7871,-79.2932,-24.4742,2.496062992,5.44363357,0.009212598,0.144312598,0.775912598
4003,cochiseAZ           ,34678,1,2022,0.0352,324.428,1.1289,0.0201,204.4662,0.8799,-119.9618,-36.9764,1.2759,0.0211,212.0774,3.3923,-112.3506,-34.6304,1.9022,0.0247,240.7894,31.6601,-83.6386,-25.7803,2.472440945,5.449010947,0.010789764,0.157789764,0.784089764
4003,cochiseAZ           ,34679,1,2022,0.035,322.9472,1.0663,0.0197,201.2787,0.7968,-121.6685,-37.6744,1.2178,0.0207,208.8622,2.8071,-114.0849,-35.3262,1.8455,0.0244,238.4052,33.0429,-84.542,-26.1783,2.456692913,5.493758402,0.01118189,0.16268189,0.79038189
4003,cochiseAZ           ,34680,1,2022,0.0355,326.4789,1.0561,0.0195,199.3462,0.9219,-127.1327,-38.9406,1.2165,0.0205,207.4141,3.2641,-119.0648,-36.4694,1.8491,0.0241,236.2313,33.8609,-90.2476,-27.6427,2.492125984,5.551469176,0.012792913,0.173192913,0.805792913
4003,cochiseAZ           ,34681,1,2022,0.0358,328.8706,0.9967,0.0192,196.8551,0.8741,-132.0155,-40.1421,1.1696,0.0203,205.6126,3.4566,-123.2579,-37.4792,1.8048,0.0239,234.6332,34.5514,-94.2373,-28.6548,2.484251969,5.602938352,0.012448031,0.185348031,0.820548031
4003,cochiseAZ           ,34682,1,2022,0.0362,332.3977,1.0033,0.0186,192.5504,1.3797,-139.8473,-42.0723,1.1795,0.0197,201.4649,4.223,-130.9329,-39.3904,1.8202,0.0235,231.3974,35.8404,-101.0003,-30.3854,2.570866142,5.721720761,0.015111024,0.191311024,0.832011024
4003,cochiseAZ           ,34683,1,2022,0.0363,332.8649,0.9964,0.0187,192.9107,1.3809,-139.9542,-42.0453,1.1821,0.0198,202.182,4.3924,-130.6829,-39.26,1.8219,0.0236,232.2335,35.9358,-100.6314,-30.2319,2.618110236,5.761378913,0.016085039,0.201785039,0.841585039
4003,cochiseAZ           ,34684,1,2022,0.0358,329.2964,0.9682,0.0189,194.6467,1.2556,-134.6496,-40.8901,1.1621,0.0201,204.33,4.4022,-124.9663,-37.9495,1.8104,0.024,235.2556,36.5757,-94.0408,-28.5581,2.68503937,5.796811984,0.015444094,0.209344094,0.857644094
