Fips,CountyState,gridID,Indx,Year,meanNDVIgrid,meanANPPgrid,PPTgs_below,NDVI_predict_below,NPP_predict_below,NPP_stdev_below,deltaNPP_below,pct_diffNPP_below,PPTgs_avg,NDVI_predict_avg,NPP_predict_avg,NPP_stdev_avg,deltaNPP_avg,pct_diffNPP_avg,PPTgs_above,NDVI_predict_above,NPP_predict_above,NPP_stdev_above,deltaNPP_above,pct_diffNPP_above,pptWatYrReceived,pptAvgWatYrReceived,pptGSremainder_below,pptGSremainder_avg,pptGSremainder_above
4003,cochiseAZ           ,34220,1,2022,0.0353,325.2043,1.0436,0.0194,198.9807,0.3963,-126.2237,-38.8136,1.1417,0.0201,204.0576,3.5996,-121.1467,-37.2525,1.6873,0.0231,228.0116,20.3277,-97.1927,-29.8867,2.496062992,5.684847321,0.004229921,0.102329921,0.647929921
4003,cochiseAZ           ,34221,1,2022,0.0355,327.1156,0.999,0.0192,197.3085,0.2654,-129.8071,-39.6823,1.0968,0.0198,202.2941,4.0466,-124.8215,-38.1582,1.6407,0.0229,226.91,22.0124,-100.2056,-30.6331,2.527559055,5.749567889,0.002937008,0.100737008,0.644637008
4003,cochiseAZ           ,34222,1,2022,0.0355,327.0857,0.9567,0.0191,196.4913,0.2825,-130.5944,-39.9267,1.0512,0.0197,201.3183,3.5311,-125.7674,-38.4509,1.6102,0.0229,226.779,22.4575,-100.3067,-30.6668,2.535433071,5.778279239,0.003944094,0.098444094,0.657444094
4003,cochiseAZ           ,34223,1,2022,0.0349,322.3421,0.937,0.0189,195.0863,0.3104,-127.2557,-39.4785,1.0322,0.0196,200.0461,3.8312,-122.296,-37.9398,1.5932,0.0228,225.5188,23.4675,-96.8232,-30.0374,2.578740157,5.780679854,0.003929134,0.099129134,0.660129134
4003,cochiseAZ           ,34224,1,2022,0.0352,324.8096,0.9232,0.0188,193.9985,0.2293,-130.811,-40.2731,1.0203,0.0194,199.0065,3.985,-125.803,-38.7313,1.5896,0.0227,225.3378,23.8619,-99.4718,-30.6246,2.633858268,5.759746495,0.001940157,0.099040157,0.668340157
4003,cochiseAZ           ,34225,1,2022,0.0353,325.5583,0.9193,0.0185,191.9264,0.2067,-133.632,-41.047,1.0039,0.0191,196.2931,3.9328,-129.2652,-39.7057,1.5928,0.0225,223.6777,23.8676,-101.8807,-31.2941,2.712598425,5.807758786,0.001977165,0.086577165,0.675477165
4003,cochiseAZ           ,34226,1,2022,0.0349,321.764,0.9035,0.0189,194.8139,0.2519,-126.95,-39.4544,0.9885,0.0194,199.1048,4.058,-122.6592,-38.1208,1.5781,0.0229,226.2842,25.3416,-95.4797,-29.6738,2.803149606,5.737660841,0.001925197,0.086925197,0.676525197
4003,cochiseAZ           ,34675,1,2022,0.0361,331.9656,1.2982,0.0213,213.8134,0.2793,-118.1522,-35.5917,1.3816,0.0218,218.1973,3.1386,-113.7683,-34.2711,1.8455,0.0244,238.4466,13.5088,-93.519,-28.1713,2.472440945,5.808911081,0.002924409,0.086324409,0.550224409
4003,cochiseAZ           ,34676,1,2022,0.0356,327.8069,1.2175,0.0211,212.1446,0.1738,-115.6623,-35.2837,1.2995,0.0216,216.4596,3.2061,-111.3473,-33.9674,1.793,0.0243,238.05,15.8927,-89.7569,-27.381,2.468503937,5.624831957,0.000964567,0.082964567,0.576464567
4003,cochiseAZ           ,34677,1,2022,0.0351,323.9873,1.2028,0.0206,208.5657,0.2316,-115.4215,-35.6253,1.2871,0.0212,212.9721,3.3057,-111.0152,-34.2653,1.7933,0.024,235.0952,17.0372,-88.892,-27.4369,2.496062992,5.564624544,0.002012598,0.086312598,0.592512598
4003,cochiseAZ           ,34678,1,2022,0.0352,324.428,1.1211,0.0201,204.0301,0.2752,-120.3979,-37.1108,1.2064,0.0206,208.5019,3.4743,-115.9261,-35.7324,1.7277,0.0235,231.6077,18.5127,-92.8203,-28.6104,2.472440945,5.570289994,0.002989764,0.088289764,0.609589764
4003,cochiseAZ           ,34679,1,2022,0.035,322.9472,1.0571,0.0197,200.8718,0.2365,-122.0753,-37.8004,1.1414,0.0202,205.3127,3.7862,-117.6345,-36.4253,1.669,0.0232,229.0184,20.5717,-93.9288,-29.0849,2.456692913,5.612156712,0.00198189,0.08628189,0.61388189
